Jaka sierotka pasła gąski i spotkała krasnoludki?;Marysia;Zosia;Kasia;Basia;1
Jak ma na imię smerf, który uwielbia przeglądać się w lustrze?;Piękniś;Laluś;Strojniś;Krępliś;2
Jak nazywamy dawnych historyków;Kryptografami;Historykami;Skrybami;Kronikarzami;4
Kto koronował Napoleona na cesarza?;Caryca Katarzyna;Sam się koronował;Tadeusz Kościuszko;nie był cesarzem;2
Jak nazywał się I król Polski?;Władysław Łokietek;Zygmunt III Waza;Bolesław Chrobry;Kazimierz Wielki;3
Jak nazywa się język starożytnych Rzymian?;Łacina;Rzymski;Sumeryjski;Angielski;1
Jak nazywa się reprezentacyjny pałac królów Francji?;Wawel;Pałac Wystawny;Wersal;Wersalka;3
Jak miał na imię synek rozbójnika Rumcajsa?;Cypis;Cypisek;Cytrusek;Cytrianek;2
Jak nazywał się pies, który jeździł koleją?;Lampo;Lumpo;Limpo;Lempo;1
Stolica Litwy?;Lwów;Moskwa;Wilno;Budapeszt;3
