Gdzie urodził się M. Kopernik?;w Toruniu;w Tarnowie;w Kijowie;w Kazachstanie;1
Ile lat liczy wiek?;1000;100;2137;10;2
W którym kraju kimono jest strojem narodowym kobiet?;w Japonii;w Chinach;w Mongolii;w Niemczech;1
W którym roku rozpoczęła się II wojna światowa?;2022;1938;1939;1945;3
Jakie zwierzęta podkuwają w Pacanowie?;Koty;Owce;Konie;Kozy;4
Nasze polskie morze nazywa się;Morze Bałtyckie;Morze Bałkańskie;Morze Bałuckie;nie mamy morza;1
Ile zer jest w milionie?;milion;sześć;całkiem sporo;wszystkie;2
Jaki kolor ma mundur policjanta?;J60;granatowy;różowy;nie wiem, nie gadam z policją;2
Jaki jest skrót Organizacji Narodów Zjednoczonych?;ONZJ;ONŹ;ONZ;ONŻ;3
Na czym zapisano Dziesięć Przykazań?;na kamiennych tablicach;na pisaku;na korze brzozy;na blacie stołu;1
